link,titre,adresse,code_postal,prix_vente,f0_,prix_location,rendement_brut
https://www.leboncoin.fr/ad/ventes_immobilieres/2752004324,Appartement 1 pièce 41 m²,Annecy 74000,74000,220000,41.0,860.0,0.046909090909090907
https://www.leboncoin.fr/ad/ventes_immobilieres/2302172373,Appartement 3 pièces 76 m²,Annecy 74000,74000,495000,76.0,1314.0,0.031854545454545455
https://www.leboncoin.fr/ad/ventes_immobilieres/2486948190,Appartement 2 pièces 50 m²,Annecy 74000,74000,229000,50.0,989.0,0.051825327510917028
https://www.leboncoin.fr/ad/ventes_immobilieres/2487524460,Appartement T2 + parking Annecy centre,Annecy 74000,74000,270000,43.0,860.0,0.03822222222222222
https://www.leboncoin.fr/ad/ventes_immobilieres/2764266560,Appartement 2 pièces 53 m²,Annecy 74000,74000,180000,53.0,989.0,0.06593333333333333
https://www.leboncoin.fr/ad/ventes_immobilieres/2668117332,Appartement 3 pièces 63 m²,Annecy 74000,74000,357000,63.0,1119.0,0.037613445378151263
https://www.leboncoin.fr/ad/ventes_immobilieres/2298280821,Appartement 2 pièces 36 m²,Annecy 74000,74000,325000,36.0,795.0,0.029353846153846154
https://www.leboncoin.fr/ad/ventes_immobilieres/2767075150,Appartement 5 pièces 128 m²,Annecy 74000,74000,396000,128.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2752256882,Appartement 2 pièces 41 m²,Annecy 74000,74000,235000,41.0,860.0,0.043914893617021278
https://www.leboncoin.fr/ad/ventes_immobilieres/2429292620,Appartement 3 pièces 94 m²,Annecy 74000,74000,495000,94.0,1509.0,0.036581818181818181
https://www.leboncoin.fr/ad/ventes_immobilieres/2722152765,Appartement 4 pièces 97 m²,Annecy 74000,74000,399000,97.0,1573.0,0.04730827067669173
https://www.leboncoin.fr/ad/ventes_immobilieres/2681891126,Appartement 3 pièces 65 m²,Annecy 74000,74000,398000,65.0,1184.0,0.035698492462311555
